sample_file_path|outputs/eval/vpu_03S/joined/test_kmeans.ngen.ngen_simulation.joined.group0.parquet
title|Paired data including the simulated and observed values for all locations and time steps.
primary_location_id|Primary location identifier (e.g., USGS gage ID).
primary_value|Observed value for the primary location.
secondary_location_id|Secondary location identifier (e.g., NextGen catchment ID).
secondary_value|Simulated value for the secondary location. 
value_time|Time of the paired value.
configuration|Configuration for the paired data (e.g., ngen_simulation, short-range, medium-range-mem1).
measurement_unit|Measurement unit of the paired variable (e.g., cubic meters per second).
variable_name|Name of the paired variable (e.g., streamflow).
reference_time|Reference time for the paired value (same as value_time for simulations).
lead_time|Lead time for the paired value (e.g., 0 for simulations).
